,id,data
0,1,İstanbul
1,2,Tekirdağ
2,3,İzmir
3,4,Çanakkale
4,5,Muğla
5,6,Aydın
6,7,Mersin
7,8,Manisa
8,9,Ankara
9,10,Balıkesir
10,11,KKTC
11,12,Antalya
12,13,Kocaeli
13,14,Adana
14,15,Gaziantep
15,16,Eskişehir
16,17,Sakarya
17,18,Samsun
18,19,Bursa
19,20,Adıyaman
20,21,Nevşehir
21,22,Sinop
22,23,Kayseri
23,24,Osmaniye
24,25,Erzincan
25,26,Kırklareli
26,27,Yalova
27,28,Giresun
28,29,Trabzon
29,30,Malatya
30,31,Bolu
31,32,Afyonkarahisar
32,33,Çankırı
33,34,Ordu
34,35,Burdur
35,36,Elazığ
36,37,Edirne
37,38,Kastamonu
38,39,Isparta
39,40,Bilecik
40,41,Düzce
41,42,Mardin
42,43,Hatay
43,44,Kahramanmaraş
44,45,Karaman
45,46,Şanlıurfa
46,47,Niğde
47,48,Denizli
48,49,Rize
49,50,Konya
50,51,Aksaray
51,52,Yozgat
52,53,Van
53,54,Zonguldak
54,55,Sivas
55,56,Uşak
56,57,Kütahya
57,58,Erzurum
58,59,Diyarbakır
59,60,Batman
60,61,Kırşehir
61,62,Kilis
62,63,Kars
63,64,Amasya
64,65,Çorum
65,66,Kırıkkale
66,67,Karabük
67,68,Tokat
68,69,Gümüşhane
69,70,Bingöl
70,71,Artvin
71,72,Ardahan
72,73,Ağrı
73,74,Bartın
74,75,Hakkari
75,76,Bitlis
76,77,Şırnak
77,78,Siirt
78,79,Muş
79,80,Iğdır
80,81,Bayburt
81,82,Tunceli
